"LANGUAGE","Slovenčina","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Táto správa vás len informuje, že mod bol aktualizovaný.",""
"WHATSNEW_L2","Podrobný zoznam zmien nájdete v Steam Workshop alebo na GitHub.",""
"WHATSNEW_L3","Ďakujeme za používanie a podporu!",""
"MOD_DESCRIPTION","Riadiť vozidlá vo vlastnom meste!",""
"SETTINGS_GROUP_GENERAL","Všeobecné nastavenia",""
"SETTINGS_GROUP_VEHICLE","Nastavenia vozidla",""
"SETTINGS_GROUP_CAMERA","Nastavenia kamery",""
"SETTINGS_GROUP_GAME","Nastavenia hrateľnosti",""
"SETTINGS_GROUP_KEYS","Klávesové skratky",""
"SETTINGS_MAXVELOCITY","Maximálna rýchlosť",""
"SETTINGS_ENGINEPOWER","Výkon motora",""
"SETTINGS_BRAKINGFORCE","Brzdná sila",""
"SETTINGS_BRAKINGABS","ABS",""
"SETTINGS_DOWNFORCE","Prítlak",""
"SETTINGS_DRIVEBIAS","Rozdelenie pohonu",""
"SETTINGS_DRIVEBIAS_DETAIL","Určuje, či je vozidlo predné, zadné alebo štvorkolové.
0 = úplný predný náhon; 1 = úplný zadný náhon.
Hodnota medzi nimi označuje pomer rozdelenia výkonu prednej a zadnej nápravy pre 4WD.",""
"SETTINGS_BRAKEBIAS","Rozdelenie brzd",""
"SETTINGS_BRAKEBIAS_DETAIL","Rozdelenie brzdnej sily medzi predné a zadné kolesá.
0 = úplné brzdenie prednými kolesami, 1 = úplné brzdenie zadnými kolesami.",""
"SETTINGS_GRIPOVERMATCH","Prekročenie priľnavosti",""
"SETTINGS_GRIPCOEFFS","Koeficient statickej priľnavosti",""
"SETTINGS_GRIPCOEFFK","Koeficient kinetickej priľnavosti",""
"SETTINGS_SPRINGDAMP","Tlmenie pružiny",""
"SETTINGS_SPRINGOFFSET","Predvolený posun pružiny",""
"SETTINGS_MASSFACTOR","Faktor hmotnosti",""
"SETTINGS_MASSCENTERHEIGHT","Výška ťažiska",""
"SETTINGS_MASSCENTERBIAS","Predné/zadné posunutie ťažiska",""
"SETTINGS_BUILDINGCOLLISION","Kolízia s budovami",""
"SETTINGS_VEHICLECOLLISION","Kolízia s vozidlami",""
"SETTINGS_UNDERGROUNDRENDERING","Vykresľovanie podzemných ciest",""
"SETTINGS_UNDERGROUNDRENDERING_DETAIL","Vykresľovať podzemné cesty bez textúr tunelov, ako sú pôvodné cesty, pre ľahšiu jazdu.
Vypnite to, ak to konfliktuje s existujúcimi tunelmi alebo spôsobuje vizuálne problémy.",""
"SETTINGS_OFFSET","Posun kamery",""
"SETTINGS_KEYUUITOGGLE","Prepnúť hlavný panel (vyžaduje mod UUI)",""
"SETTINGS_KEYLIGHTTOGGLE","Prepnúť svetlomet",""
"SETTINGS_KEYSIRENTOGGLE","Prepnúť sirénu pre špeciálne vozidlá",""
"SETTINGS_KEYUNSTUCK","Uvoľniť zaseknutie",""
"SETTINGS_RESETBTN","Obnoviť nastavenia",""
"MAINPANELBTN_TOOLTIP","IOperateIt Revisited",""
"DRIVEBTN_TOOLTIP","Začať jazdiť",""
"SPAWNBTN_TEXT","Vytvoriť vozidlo",""
"MODSETTINGSBTN_TEXT","Nastavenia modu",""
"ROAD_SELECT","Vyberte úsek cesty pre začatie jazdy",""
"DRIVINGMODE","Režim jazdy",""
"SEARCHBARBTN_TOOLTIP","Search vehicle by name or Workshop ID",""
"NO_RESULTS","No results found.",""
"STEAMSPRITE_TOOLTIP","Click to open the vehicle's Workshop page",""
"COLORCHANGEBTN_TOOLTIP","Change the vehicle color (from 4 defined colors)",""
