"LANGUAGE","Русский","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Это сообщение просто для того, чтобы вы знали, что мод был обновлён.",""
"WHATSNEW_L2","Подробный список изменений доступен в Steam Workshop или на GitHub.",""
"WHATSNEW_L3","Спасибо за использование и поддержку!",""
"MOD_DESCRIPTION","Управляйте транспортными средствами в вашем собственном городе!",""
"SETTINGS_GROUP_GENERAL","Основные настройки",""
"SETTINGS_GROUP_VEHICLE","Настройки транспортных средств",""
"SETTINGS_GROUP_CAMERA","Настройки камеры",""
"SETTINGS_GROUP_GAME","Настройки игрового процесса",""
"SETTINGS_GROUP_KEYS","Назначение клавиш",""
"SETTINGS_MAXVELOCITY","Максимальная скорость",""
"SETTINGS_ENGINEPOWER","Мощность двигателя",""
"SETTINGS_BRAKINGFORCE","Сила торможения",""
"SETTINGS_BRAKINGABS","АБС",""
"SETTINGS_DOWNFORCE","Прижимная сила",""
"SETTINGS_DRIVEBIAS","Распределение привода",""
"SETTINGS_DRIVEBIAS_DETAIL","Указывает, является ли транспортное средство передне-, задне- или полноприводным.
0 = полностью передний привод; 1 = полностью задний привод.
Значение между ними указывает соотношение распределения мощности между передней и задней осями для полного привода.",""
"SETTINGS_BRAKEBIAS","Распределение тормозного усилия",""
"SETTINGS_BRAKEBIAS_DETAIL","Распределение тормозного усилия между передними и задними колёсами.
0 = полностью передние тормоза, 1 = полностью задние тормоза.",""
"SETTINGS_GRIPOVERMATCH","Превышение сцепления",""
"SETTINGS_GRIPCOEFFS","Коэффициент статического сцепления",""
"SETTINGS_GRIPCOEFFK","Коэффициент кинетического сцепления",""
"SETTINGS_SPRINGDAMP","Демпфирование пружины",""
"SETTINGS_SPRINGOFFSET","Смещение пружины",""
"SETTINGS_MASSFACTOR","Коэффициент массы",""
"SETTINGS_MASSCENTERHEIGHT","Высота центра масс",""
"SETTINGS_MASSCENTERBIAS","Смещение центра масс",""
"SETTINGS_BUILDINGCOLLISION","Столкновение со зданиями",""
"SETTINGS_VEHICLECOLLISION","Столкновение транспортных средств",""
"SETTINGS_UNDERGROUNDRENDERING","Рендеринг подземных дорог",""
"SETTINGS_UNDERGROUNDRENDERING_DETAIL","Рендерить подземные дороги без текстур туннелей, как обычные дороги, для облегчения вождения.
Отключите эту опцию, если она конфликтует с существующими туннелями или вызывает визуальные проблемы.",""
"SETTINGS_OFFSET","Смещение камеры",""
"SETTINGS_KEYUUITOGGLE","Переключить главную панель (требуется мод UUI)",""
"SETTINGS_KEYLIGHTTOGGLE","Переключить фары",""
"SETTINGS_KEYSIRENTOGGLE","Переключить сирену для специальных транспортных средств",""
"SETTINGS_KEYUNSTUCK","Высвобождение",""
"SETTINGS_RESETBTN","Сброс настроек",""
"MAINPANELBTN_TOOLTIP","IOperateIt Revisited",""
"DRIVEBTN_TOOLTIP","Начать вождение",""
"SPAWNBTN_TEXT","Создать транспортное средство",""
"MODSETTINGSBTN_TEXT","Настройки мода",""
"ROAD_SELECT","Выберите участок дороги, чтобы начать вождение",""
"DRIVINGMODE","Режим вождения",""
"SEARCHBARBTN_TOOLTIP","Search vehicle by name or Workshop ID",""
"NO_RESULTS","No results found.",""
"STEAMSPRITE_TOOLTIP","Click to open the vehicle's Workshop page",""
"COLORCHANGEBTN_TOOLTIP","Change the vehicle color (from 4 defined colors)",""
