"LANGUAGE","Українська","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Це повідомлення лише для того, щоб повідомити вас, що мод було оновлено.",""
"WHATSNEW_L2","Для детального списку змін, будь ласка, відвідайте Steam Workshop або GitHub.",""
"WHATSNEW_L3","Дякуємо за ваше використання та підтримку!",""
"MOD_DESCRIPTION","Керуйте транспортними засобами у вашому власному місті!",""
"SETTINGS_GROUP_GENERAL","Загальні налаштування",""
"SETTINGS_GROUP_VEHICLE","Налаштування транспортних засобів",""
"SETTINGS_GROUP_CAMERA","Налаштування камери",""
"SETTINGS_GROUP_GAME","Налаштування ігрового процесу",""
"SETTINGS_GROUP_KEYS","Прив'язки клавіш",""
"SETTINGS_MAXVELOCITY","Максимальна швидкість",""
"SETTINGS_ENGINEPOWER","Потужність двигуна",""
"SETTINGS_BRAKINGFORCE","Гальмівна сила",""
"SETTINGS_BRAKINGABS","ABS",""
"SETTINGS_DOWNFORCE","Притискна сила",""
"SETTINGS_DRIVEBIAS","Зміщення приводу",""
"SETTINGS_DRIVEBIAS_DETAIL","Вказує, чи є транспортний засіб передньоприводним, задньоприводним або повноприводним.
0 = повний передній привід; 1 = повний задній привід.
Значення між ними вказує на співвідношення розподілу потужності передньої та задньої осей для 4WD.",""
"SETTINGS_BRAKEBIAS","Зміщення гальм",""
"SETTINGS_BRAKEBIAS_DETAIL","Розподіл гальмівної сили між передніми та задніми колесами.
0 = повністю передні гальма, 1 = повністю задні гальма.",""
"SETTINGS_GRIPOVERMATCH","Перевищення зчеплення",""
"SETTINGS_GRIPCOEFFS","Коефіцієнт статичного зчеплення",""
"SETTINGS_GRIPCOEFFK","Коефіцієнт кінетичного зчеплення",""
"SETTINGS_SPRINGDAMP","Демпфування пружини",""
"SETTINGS_SPRINGOFFSET","Зміщення пружини",""
"SETTINGS_MASSFACTOR","Коефіцієнт маси",""
"SETTINGS_MASSCENTERHEIGHT","Висота центру маси",""
"SETTINGS_MASSCENTERBIAS","Зміщення центру маси",""
"SETTINGS_BUILDINGCOLLISION","Зіткнення з будівлями",""
"SETTINGS_VEHICLECOLLISION","Зіткнення транспортних засобів",""
"SETTINGS_UNDERGROUNDRENDERING","Візуалізація підземних доріг",""
"SETTINGS_UNDERGROUNDRENDERING_DETAIL","Візуалізуйте підземні дороги без текстур тунелів, як оригінальні дороги, для полегшення керування.
Вимкніть це, якщо це конфліктує з існуючими тунелями або спричиняє візуальні проблеми.",""
"SETTINGS_OFFSET","Зміщення камери",""
"SETTINGS_KEYUUITOGGLE","Перемкнути головну панель (потрібен мод UUI)",""
"SETTINGS_KEYLIGHTTOGGLE","Перемкнути фари",""
"SETTINGS_KEYSIRENTOGGLE","Перемкнути сирену для спеціальних транспортних засобів",""
"SETTINGS_KEYUNSTUCK","Вивільнення",""
"SETTINGS_RESETBTN","Скинути налаштування",""
"MAINPANELBTN_TOOLTIP","IOperateIt Revisited",""
"DRIVEBTN_TOOLTIP","Почати керування",""
"SPAWNBTN_TEXT","Створити транспортний засіб",""
"MODSETTINGSBTN_TEXT","Налаштування мода",""
"ROAD_SELECT","Виберіть сегмент дороги, щоб почати керування",""
"DRIVINGMODE","Режим керування",""
"SEARCHBARBTN_TOOLTIP","Пошук автомобіля за назвою або ID майстерні",""
"NO_RESULTS","Нічого не знайдено.",""
"STEAMSPRITE_TOOLTIP","Натисніть, щоб відкрити сторінку майстерні автомобіля",""
"COLORCHANGEBTN_TOOLTIP","Змінити колір автомобіля (з 4 визначених кольорів)",""
