"LANGUAGE","Türkçe","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Bu mesaj sadece modun güncellendiğini bildirmek içindir.",""
"WHATSNEW_L2","Değişikliklerin ayrıntılı listesi için lütfen Steam Workshop veya GitHub'ı ziyaret edin.",""
"WHATSNEW_L3","Kullanımınız ve desteğiniz için teşekkür ederiz!",""
"MOD_DESCRIPTION","Kendi şehrinizde araç sürün!",""
"SETTINGS_GROUP_GENERAL","Genel Ayarlar",""
"SETTINGS_GROUP_VEHICLE","Araç Ayarları",""
"SETTINGS_GROUP_CAMERA","Kamera Ayarları",""
"SETTINGS_GROUP_GAME","Oynanış Ayarları",""
"SETTINGS_GROUP_KEYS","Tuş Atamaları",""
"SETTINGS_MAXVELOCITY","Maksimum hız",""
"SETTINGS_ENGINEPOWER","Engine Power",""
"SETTINGS_BRAKINGFORCE","Braking Force",""
"SETTINGS_BRAKINGABS","ABS",""
"SETTINGS_DOWNFORCE","Basınç kuvveti",""
"SETTINGS_DRIVEBIAS","Sürüş yanlılığı",""
"SETTINGS_DRIVEBIAS_DETAIL","Aracın önden çekişli, arkadan itişli veya dört tekerlekten çekişli olup olmadığını belirtir.
0 = tam önden çekiş; 1 = tam arkadan itiş.
İkisi arasındaki değer, 4WD'nin ön ve arka güç dağılım oranını gösterir.",""
"SETTINGS_BRAKEBIAS","Fren yanlılığı",""
"SETTINGS_BRAKEBIAS_DETAIL","Ön ve arka tekerlekler arasındaki fren kuvveti dağılımı.
0 = tam ön frenler, 1 = tam arka frenler.",""
"SETTINGS_GRIPOVERMATCH","Tutunma aşımı",""
"SETTINGS_GRIPCOEFFS","Statik tutunma katsayısı",""
"SETTINGS_GRIPCOEFFK","Kinetik tutunma katsayısı",""
"SETTINGS_SPRINGDAMP","Yay sönümlemesi",""
"SETTINGS_SPRINGOFFSET","Yay ofseti",""
"SETTINGS_MASSFACTOR","Kütle faktörü",""
"SETTINGS_MASSCENTERHEIGHT","Kütle merkezi yüksekliği",""
"SETTINGS_MASSCENTERBIAS","Kütle merkezi yanlılığı",""
"SETTINGS_BUILDINGCOLLISION","Bina çarpışması",""
"SETTINGS_VEHICLECOLLISION","Araç çarpışması",""
"SETTINGS_UNDERGROUNDRENDERING","Yeraltı Yolu İşleme",""
"SETTINGS_UNDERGROUNDRENDERING_DETAIL","Sürüşü kolaylaştırmak için yeraltı yollarını vanilya yollar gibi tünel dokuları olmadan işler.
Mevcut tünellerle çakışıyorsa veya görsel sorunlara neden oluyorsa bunu devre dışı bırakın.",""
"SETTINGS_OFFSET","Kamera ofseti",""
"SETTINGS_KEYUUITOGGLE","Ana paneli aç/kapat (UUI modu gerektirir)",""
"SETTINGS_KEYLIGHTTOGGLE","Farı aç/kapat",""
"SETTINGS_KEYSIRENTOGGLE","Özel araçlar için siren aç/kapat",""
"SETTINGS_KEYUNSTUCK","Sıkışmadan kurtul",""
"SETTINGS_RESETBTN","Ayarları Sıfırla",""
"MAINPANELBTN_TOOLTIP","IOperateIt Revisited",""
"DRIVEBTN_TOOLTIP","Sürmeye başla",""
"SPAWNBTN_TEXT","Araç oluştur",""
"MODSETTINGSBTN_TEXT","Mod ayarları",""
"ROAD_SELECT","Sürmeye başlamak için bir yol parçası seçin",""
"DRIVINGMODE","Sürüş modu",""
